,OverallQual,SF,GrLivArea,GarageCars,baths,ExterQual_TA,BsmtQual_Ex,TotRmsAbvGrd,GarageYrBlt,KitchenQual_TA,YearRemodAdd,KitchenQual_Ex,FireplaceQu_NA,MasVnrArea,Fireplaces,ExterQual_Gd,BsmtQual_TA,ExterQual_Ex,HeatingQC_Ex,Neighborhood_NridgHt,GarageFinish_Fin,GarageFinish_Unf,porch,LotArea,MasVnrType_None,SaleType_New,MSSubClass_60,GarageType_Detchd,FireplaceQu_Gd,MasVnrType_Stone,KitchenQual_Gd,GarageType_Attchd,GarageArea,ExterirorVinylSd,HeatingQC_TA,LotFrontage,BsmtExposure_Gd,MSZoning_RM,Neighborhood_NoRidge,GarageCond_TA,LotShape_Reg,BsmtExposure_No,CentralAir_Y,SaleType_WD,BsmtQual_Gd,GarageQual_TA,MSZoning_RL,GarageType_BuiltIn,Electrical_SBrkr,MSSubClass_30,RoofStyle_Hip,PavedDrive_Y,HouseStyle_2Story,FireplaceQu_Ex,RoofStyle_Gable,Neighborhood_StoneBr,PavedDrive_N,LotShape_IR1,MasVnrType_BrkFace,Electrical_FuseA,Neighborhood_OldTown,Neighborhood_NAmes,Fence_NA,Neighborhood_Edwards,GarageFinish_RFn,Neighborhood_IDOTRR,HouseStyle_1.5Fin,FireplaceQu_TA,ExterirorMetalSd,KitchenQual_Fa,BedroomAbvGr,MSSubClass_50,Fence_MnPrv,BsmtCond_NA,SaleCondition_Normal,LotConfig_CulDSac,Neighborhood_Somerst,Neighborhood_BrkSide,Alley_Grvl,SaleCondition_Abnorml,BldgType_1Fam,HeatingQC_Fa,GarageQual_Fa,BsmtCond_Fa,HeatingQC_Gd,GarageCond_Fa,Neighborhood_Timber,LotShape_IR2,BsmtExposure_Av,BsmtQual_Fa,Neighborhood_Sawyer,Electrical_FuseF,LandContour_HLS,Alley_NA,ExterQual_Fa,Functional_Typ,BldgType_Duplex,Neighborhood_MeadowV,MSSubClass_160,MSZoning_C (all),Condition_Norm,Neighborhood_BrDale,LandContour_Bnk,Fence_GdWo,BsmtCond_TA,ExterirorAsbShng,BldgType_Twnhs,BldgType_2fmCon,MSZoning_FV,HouseStyle_SFoyer,BsmtCond_Gd,PavedDrive_P,HouseStyle_1.5Unf,ExterirorHdBoard,MSSubClass_45,MSSubClass_180,SaleType_COD,OverallCond,BsmtFinTypeUnf,Neighborhood_CollgCr,FireplaceQu_Po,Neighborhood_Crawfor,MiscFeature_NA,Functional_Min2,Functional_Maj2,GarageType_CarPort,MiscFeature_Shed,Condition_PosN,MSSubClass_120,LotConfig_Inside,MSZoning_RH,Neighborhood_Veenker,Functional_Min1,GarageCond_Po,Neighborhood_SWISU,Neighborhood_ClearCr,Neighborhood_Mitchel,BsmtCond_Po,LowQualFinSFPercent,MasVnrType_NA,HouseStyle_1Story,Fence_MnWw,SaleCondition_AdjLand,MSSubClass_20,MSSubClass_85,Electrical_FuseP,LandContour_Low,BsmtExposure_Mn,GarageQual_Po,SaleCondition_Family,GarageQual_Gd,MasVnrType_BrkCmn,LotShape_IR3,SaleType_Con,SaleType_ConLD,Street_Grvl,MiscFeature_Othr,Neighborhood_Gilbert,Electrical_Mix,HouseStyle_2.5Fin,Neighborhood_NPkVill,HouseStyle_SLvl,MSSubClass_70,GarageQual_Ex,SaleType_Oth,Condition_Artery,RoofStyle_Gambrel,Functional_Maj1,ExterirorStucco,LandContour_Lvl,Condition_Feedr,HeatingQC_Po,ExterirorBrkFace,GarageType_Basment,ExterirorImStucc,SaleType_ConLw,MSSubClass_80,ExterirorAsphShn,GarageCond_Ex,Alley_Pave,Neighborhood_NWAmes,HouseStyle_2.5Unf,ExterirorCBlock,FireplaceQu_Fa,GarageType_2Types,MiscFeature_TenC,YrSold,RoofStyle_Shed,Neighborhood_Blmngtn,SaleType_CWD,Neighborhood_Blueste,SalePrice
271,7,7.97103447279588,6.076086724525043,2,2,1,0,5,54.0,1,55,0,0,0.0,2,0,0,0,1,0,0,1,81,14.06226558947499,1,0,0,0,0,0,0,1,1.8375808319377456,0,0,2.923012785691765,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,241500
272,8,7.92572994103115,6.902500778579194,3,3,0,0,9,99.0,0,57,0,0,348.0,1,1,0,0,1,0,1,0,189,10.414507905016443,0,0,1,0,1,0,1,1,1.9172213297236995,1,0,3.0970410146824725,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,290000
273,6,8.007801081915408,6.355943655622531,1,3,1,0,6,58.0,1,38,0,0,183.0,1,0,1,0,0,0,0,0,289,9.89846400767953,0,0,0,0,1,0,0,1,1.7901592628398706,0,0,2.990697562442441,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,139000
274,5,6.831474771841886,5.344690235567577,1,1,1,0,5,82.0,1,32,0,1,0.0,0,0,1,0,0,0,0,1,168,9.548881526149486,1,0,0,0,0,0,0,1,1.7464670352107243,0,1,2.9525917237371893,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,124500
275,7,7.0710678118654755,6.272529884011076,2,3,0,0,5,78.0,0,57,1,1,0.0,0,1,1,0,0,0,0,1,218,9.23196095153408,1,0,0,1,0,0,0,0,1.917506864265442,0,0,2.7232698153315003,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,205000
276,7,7.473751412448488,6.284650771225319,2,2,0,1,7,103.0,0,53,0,1,0.0,0,1,0,0,1,0,1,0,250,9.792638906744944,1,0,0,0,0,0,1,1,1.8871892855659225,1,0,3.3701360049114557,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,201000
277,4,6.556551724832906,5.421612021659069,2,1,1,0,4,51.0,1,1,0,1,0.0,0,0,1,0,1,0,0,1,0,11.761809404768508,1,0,0,1,0,0,0,0,1.8205642030260802,1,0,3.439790628250393,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,141000
278,9,8.07035550342952,6.78633301265697,3,3,0,1,8,107.0,0,57,1,0,315.0,1,0,0,1,1,1,1,0,364,10.963947865696602,0,1,0,0,0,0,0,1,1.9339761236893498,0,0,3.216221452697031,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,415298
279,7,7.731942880708606,6.705718031041436,2,3,1,0,8,77.0,1,27,0,0,299.0,1,0,0,0,1,0,1,0,405,10.001249765693336,0,0,1,0,0,0,0,1,1.863498887472868,0,0,3.018349479292333,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,192000
280,7,7.527075255161275,6.672305342166538,2,3,0,0,7,89.0,0,39,0,0,340.0,1,1,0,0,0,0,1,0,280,10.307293227336308,0,0,1,0,0,0,1,1,1.8878469580440855,0,0,3.009216698434564,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,228500
281,6,7.652297948187159,5.96025497245405,2,2,0,0,5,106.0,0,56,0,1,68.0,0,1,0,0,0,0,1,0,120,9.211558703193814,0,1,0,0,0,1,1,1,1.886859674220092,1,0,2.7831576837137404,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,185000
283,8,7.3610372052161415,6.189869798415475,3,2,0,0,6,108.0,0,59,0,0,72.0,1,1,0,0,1,0,1,0,360,9.901555828767979,0,1,0,0,1,1,1,1,1.9739113019193708,1,0,2.932972087668518,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,244600
284,6,7.73518591933034,6.299703934786845,2,3,0,0,5,92.0,0,42,0,1,0.0,0,1,0,0,0,0,0,0,52,9.460960627885573,1,0,0,0,0,0,1,1,1.8721712305548575,0,0,2.6591479484724942,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,179200
285,7,6.580370064762462,5.946035575013605,2,3,0,0,5,106.0,0,57,0,1,0.0,0,1,0,0,1,0,0,0,54,8.074632700675132,1,1,0,1,0,0,1,0,1.8718170215332923,0,0,2.4322992790977875,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,164700
286,6,7.548091025747931,6.453009036667625,2,2,1,0,7,62.0,0,31,0,0,0.0,1,0,1,0,0,0,0,0,128,9.946065222796895,1,0,0,0,1,0,1,1,1.837998986816997,0,1,2.962256637665299,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159000
287,4,6.947666769829183,5.412174889243105,0,1,1,0,5,-1.0,1,21,0,1,0.0,0,0,1,0,0,0,0,0,0,9.494144610579708,1,0,0,0,0,0,0,0,0.0,0,1,2.7600937489061037,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88000
288,5,6.873430529515146,5.477225575051661,1,1,1,0,5,70.0,1,17,0,1,31.0,0,0,1,0,0,0,0,1,0,9.954439581889202,0,0,0,1,0,0,0,0,1.7567736270879843,0,1,2.8939085711017256,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,122000
289,6,6.76463190089381,6.11253493933072,1,1,1,0,7,103.0,1,53,0,1,0.0,0,0,1,0,1,0,0,1,259,9.666150682375308,1,0,0,1,0,0,0,0,1.8131474454755332,0,0,2.7831576837137404,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,153575
290,8,7.399594265094221,6.618639756597954,2,3,0,0,8,106.0,0,56,0,0,0.0,1,1,0,0,1,0,0,0,51,11.177834649446964,1,1,1,0,1,0,1,1,1.9211844249287202,1,0,3.309750919646873,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233230
291,5,7.212435595175863,6.4361968859269645,0,3,1,0,9,-1.0,0,50,0,1,0.0,0,0,1,0,1,0,0,0,184,8.68401984131839,1,0,0,0,0,0,0,0,0.0,1,0,2.7232698153315003,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,135900
292,5,7.258633445027925,6.4361968859269645,1,2,1,0,8,49.0,1,58,0,0,0.0,1,0,1,0,0,0,0,1,160,10.335033650973537,1,0,0,0,1,0,0,1,1.757400040163214,0,0,2.7831576837137404,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,131000
293,7,7.878612708551803,6.897173302815087,2,4,1,0,9,77.0,0,44,0,0,34.0,1,0,1,0,0,0,1,0,250,11.360886786945539,0,0,1,0,0,0,1,1,1.8756805566072197,0,0,3.3027843885731247,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,235000
294,6,8.118904728515293,6.367595296925408,2,2,1,0,7,53.0,1,3,0,0,238.0,2,0,1,0,0,0,1,0,110,9.89846400767953,0,0,0,0,1,1,0,1,1.8285954221134688,0,1,2.990697562442441,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,167000
295,6,7.290454654112681,5.627626075373721,2,2,1,0,6,84.0,1,34,0,1,0.0,0,0,1,0,0,0,0,1,120,9.438741563056462,1,0,0,1,0,0,0,0,1.8920723214932587,0,1,2.4663257145596607,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142500
296,5,7.330764992153112,6.282635490936992,1,2,1,0,6,50.0,1,0,0,1,0.0,0,0,1,0,0,0,0,1,289,10.820799840940209,1,0,0,0,0,0,0,1,1.7580244501366162,0,1,2.942830956382712,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,152000
297,7,7.731942880708606,6.645209126253231,2,3,0,0,7,97.0,0,48,0,0,1600.0,1,1,0,0,1,0,0,0,208,9.274558754577576,0,0,1,1,0,0,1,0,1.888175022589804,1,0,2.8502698827717983,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,239000
298,6,7.4032937550916404,6.461366069980574,2,4,0,0,7,68.0,1,18,0,0,365.0,1,1,1,0,0,0,0,1,224,10.400314334861216,0,0,1,0,1,0,0,1,1.8756805566072197,0,0,3.080070288241023,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,175000
299,6,6.882650443637832,5.825901260487881,1,2,1,0,6,50.0,0,54,0,0,0.0,1,0,1,0,1,0,0,1,36,10.877573059372772,1,0,0,0,1,0,1,1,1.7689360204744258,0,0,2.990697562442441,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,158500
